course1Points,course1WeeklyHours,course1TotalAssignments,course1MandatoryAssignments,course1Difficulty1,course1Time1,course1Difficulty2,course1Time2,course1Difficulty3,course1Time3,course1Difficulty4,course1Time4,course1Difficulty5,course1Time5,course2Points,course2WeeklyHours,course2TotalAssignments,course2MandatoryAssignments,course2Difficulty1,course2Time1,course2Difficulty2,course2Time2,course2Difficulty3,course2Time3,course2Difficulty4,course2Time4,course2Difficulty5,course2Time5,course3Points,course3WeeklyHours,course3TotalAssignments,course3MandatoryAssignments,course3Difficulty1,course3Time1,course3Difficulty2,course3Time2,course3Difficulty3,course3Time3,course3Difficulty4,course3Time4,course3Difficulty5,course3Time5,course4Points,course4WeeklyHours,course4TotalAssignments,course4MandatoryAssignments,course4Difficulty1,course4Time1,course4Difficulty2,course4Time2,course4Difficulty3,course4Time3,course4Difficulty4,course4Time4,course4Difficulty5,course4Time5,course5Points,course5WeeklyHours,course5TotalAssignments,course5MandatoryAssignments,course5Difficulty1,course5Time1,course5Difficulty2,course5Time2,course5Difficulty3,course5Time3,course5Difficulty4,course5Time4,course5Difficulty5,course5Time5,course1,course2,course3,course4,course5,assignment1,assignment2,assignment3,assignment4,assignment5
4,4,5,3,5,202,0,0,0,0,0,0,0,0,3,4,5,2,4,230,4,119,4,181,4,175,4,181,6,6,5,5,4,345,4,295,3,277,3,261,2,272,3,3,5,3,5,157,3,133,3,179,4,162,3,139,4,4,5,5,4,172,4,174,4,220,4,169,4,239,1,0,0,0,0,1,0,0,0,0
4,4,5,3,5,202,4,137,0,0,0,0,0,0,3,4,5,2,4,230,4,119,4,181,4,175,4,181,6,6,5,5,4,345,4,295,3,277,3,261,2,272,3,3,5,3,5,157,3,133,3,179,4,162,3,139,4,4,5,5,4,172,4,174,4,220,4,169,4,239,1,0,0,0,0,0,1,0,0,0
4,4,5,3,5,202,4,137,4,131,0,0,0,0,3,4,5,2,4,230,4,119,4,181,4,175,4,181,6,6,5,5,4,345,4,295,3,277,3,261,2,272,3,3,5,3,5,157,3,133,3,179,4,162,3,139,4,4,5,5,4,172,4,174,4,220,4,169,4,239,1,0,0,0,0,0,0,1,0,0
4,4,5,3,5,202,4,137,4,131,3,213,0,0,3,4,5,2,4,230,4,119,4,181,4,175,4,181,6,6,5,5,4,345,4,295,3,277,3,261,2,272,3,3,5,3,5,157,3,133,3,179,4,162,3,139,4,4,5,5,4,172,4,174,4,220,4,169,4,239,1,0,0,0,0,0,0,0,1,0
4,4,5,3,5,202,4,137,4,131,3,213,5,138,3,4,5,2,4,230,4,119,4,181,4,175,4,181,6,6,5,5,4,345,4,295,3,277,3,261,2,272,3,3,5,3,5,157,3,133,3,179,4,162,3,139,4,4,5,5,4,172,4,174,4,220,4,169,4,239,1,0,0,0,0,0,0,0,0,1
4,4,5,3,5,202,4,137,4,131,3,213,5,138,3,4,5,2,4,230,0,0,0,0,0,0,0,0,6,6,5,5,4,345,4,295,3,277,3,261,2,272,3,3,5,3,5,157,3,133,3,179,4,162,3,139,4,4,5,5,4,172,4,174,4,220,4,169,4,239,0,1,0,0,0,1,0,0,0,0
4,4,5,3,5,202,4,137,4,131,3,213,5,138,3,4,5,2,4,230,4,119,0,0,0,0,0,0,6,6,5,5,4,345,4,295,3,277,3,261,2,272,3,3,5,3,5,157,3,133,3,179,4,162,3,139,4,4,5,5,4,172,4,174,4,220,4,169,4,239,0,1,0,0,0,0,1,0,0,0
4,4,5,3,5,202,4,137,4,131,3,213,5,138,3,4,5,2,4,230,4,119,4,181,0,0,0,0,6,6,5,5,4,345,4,295,3,277,3,261,2,272,3,3,5,3,5,157,3,133,3,179,4,162,3,139,4,4,5,5,4,172,4,174,4,220,4,169,4,239,0,1,0,0,0,0,0,1,0,0
4,4,5,3,5,202,4,137,4,131,3,213,5,138,3,4,5,2,4,230,4,119,4,181,4,175,0,0,6,6,5,5,4,345,4,295,3,277,3,261,2,272,3,3,5,3,5,157,3,133,3,179,4,162,3,139,4,4,5,5,4,172,4,174,4,220,4,169,4,239,0,1,0,0,0,0,0,0,1,0
4,4,5,3,5,202,4,137,4,131,3,213,5,138,3,4,5,2,4,230,4,119,4,181,4,175,4,181,6,6,5,5,4,345,4,295,3,277,3,261,2,272,3,3,5,3,5,157,3,133,3,179,4,162,3,139,4,4,5,5,4,172,4,174,4,220,4,169,4,239,0,1,0,0,0,0,0,0,0,1
4,4,5,3,5,202,4,137,4,131,3,213,5,138,3,4,5,2,4,230,4,119,4,181,4,175,4,181,6,6,5,5,4,345,0,0,0,0,0,0,0,0,3,3,5,3,5,157,3,133,3,179,4,162,3,139,4,4,5,5,4,172,4,174,4,220,4,169,4,239,0,0,1,0,0,1,0,0,0,0
4,4,5,3,5,202,4,137,4,131,3,213,5,138,3,4,5,2,4,230,4,119,4,181,4,175,4,181,6,6,5,5,4,345,4,295,0,0,0,0,0,0,3,3,5,3,5,157,3,133,3,179,4,162,3,139,4,4,5,5,4,172,4,174,4,220,4,169,4,239,0,0,1,0,0,0,1,0,0,0
4,4,5,3,5,202,4,137,4,131,3,213,5,138,3,4,5,2,4,230,4,119,4,181,4,175,4,181,6,6,5,5,4,345,4,295,3,277,0,0,0,0,3,3,5,3,5,157,3,133,3,179,4,162,3,139,4,4,5,5,4,172,4,174,4,220,4,169,4,239,0,0,1,0,0,0,0,1,0,0
4,4,5,3,5,202,4,137,4,131,3,213,5,138,3,4,5,2,4,230,4,119,4,181,4,175,4,181,6,6,5,5,4,345,4,295,3,277,3,261,0,0,3,3,5,3,5,157,3,133,3,179,4,162,3,139,4,4,5,5,4,172,4,174,4,220,4,169,4,239,0,0,1,0,0,0,0,0,1,0
4,4,5,3,5,202,4,137,4,131,3,213,5,138,3,4,5,2,4,230,4,119,4,181,4,175,4,181,6,6,5,5,4,345,4,295,3,277,3,261,2,272,3,3,5,3,5,157,3,133,3,179,4,162,3,139,4,4,5,5,4,172,4,174,4,220,4,169,4,239,0,0,1,0,0,0,0,0,0,1
4,4,5,3,5,202,4,137,4,131,3,213,5,138,3,4,5,2,4,230,4,119,4,181,4,175,4,181,6,6,5,5,4,345,4,295,3,277,3,261,2,272,3,3,5,3,5,157,0,0,0,0,0,0,0,0,4,4,5,5,4,172,4,174,4,220,4,169,4,239,0,0,0,1,0,1,0,0,0,0
4,4,5,3,5,202,4,137,4,131,3,213,5,138,3,4,5,2,4,230,4,119,4,181,4,175,4,181,6,6,5,5,4,345,4,295,3,277,3,261,2,272,3,3,5,3,5,157,3,133,0,0,0,0,0,0,4,4,5,5,4,172,4,174,4,220,4,169,4,239,0,0,0,1,0,0,1,0,0,0
4,4,5,3,5,202,4,137,4,131,3,213,5,138,3,4,5,2,4,230,4,119,4,181,4,175,4,181,6,6,5,5,4,345,4,295,3,277,3,261,2,272,3,3,5,3,5,157,3,133,3,179,0,0,0,0,4,4,5,5,4,172,4,174,4,220,4,169,4,239,0,0,0,1,0,0,0,1,0,0
